phrase	score
lima_bean	44.42806267806268
sweet_potato	16.28932280847528
potato_chip	26.57520969245107
soft_drink	46.523293172690764
artificially_sweeten	42.1105879512254
hen_egg	99.32643312101911
solid_pack	13.58902020587114
olive_oil	19.847625286603343
partially_defatted	169.73333333333335
food_product	10.418208327029147
artificially_color	42.602390438247006
animal_feed	108.01212121212122
infant_young	43.152542372881356
young_child	363.71428571428567
tomato_catsup	48.03773584905661
barley_malt	26.739684921230307
freeze_dry	20.604190022421527
italian_style	127.3
grape_juice	11.0362703467799
orange_juice	20.558001905812727
sea_bass	72.8750567923671
tea_dry	13.002740408570004
gelatin_dessert	55.44622222222222
sugar_free	10.608333333333334
sour_cream	18.725505647491463
pasteurized_process	131.68965517241378
semi_preserve	30.86060606060606
cheddar_cheese	29.376923076923077
oil_refine	16.11808785529716
sweeten_sorbitol	38.57575757575758
yellowfin_tuna	28.931818181818183
ice_cream	38.45091693635383
cow_milk	31.227138643067846
field_corn	65.06538333886492
distil_spirit	149.76470588235293
mineral_water	31.758835758835758
water_bottle	18.652014652014653
corn_meal	24.909794645737016
skim_milk	24.163934426229506
low_sodium	42.719400749063674
vitamin_fortify	62.17338217338217
breakfast_cereal	109.50537634408602
soy_protein	16.973333333333333
infant_formula	177.68693918245265
amino_acid	88.18803418803418
wheat_germ	34.80859375
horse_mackerel	34.74074074074074
shark_family	11.333545310015898
juice_concentrate	12.790526599084956
smoke_hot	12.73
energy_contain	31.084883720930232
contain_sweetener	36.12567567567568
quick_frozen	28.5
pie_bake	15.9125
thread_herring	27.503086419753085
stone_crab	30.72758620689655
rock_crab	10.925363984674329
deep_sea	33.92082223068138
nutritively_nonnutritively	304.6495726495727
nonnutritively_sweeten	34.28956228956229
cottage_cheese	29.843223443223444
goat_milk	24.814814814814813
alcoholic_beverage	24.442398119122256
carbonate_beverage	15.189204545454544
naturally_artificially	27.612660469234175
single_strength	727.4285714285713
reconstitute_orange	15.03543307086614
iced_tea	70.72222222222221
bluefin_tuna	46.29090909090909
bean_pod	24.233488733488734
black_raspberry	21.38853885388539
grapefruit_juice	20.13992192315595
low_fat	14.851666666666668
unprocessed_deep	32.11171171171171
deep_frozen	18.486486486486488
vegetable_protein	10.10153846153846
spiny_lobster	73.91847826086956
potato_peel	10.595719381688465
peanut_butter	25.693998918724095
mammalian_milk	28.714285714285715
carboxy_methyl	282.88888888888886
methyl_cellulose	247.52777777777777
sandwich_spread	22.41761006289308
energy_reduce	156.175261206606
rock_lobster	28.66111111111111
fly_squid	203.68
common_whitefish	34.94509803921569
preserve_jam	35.26926406926407
french_dress	19.660231660231663
vacuum_pack	48.69398907103825
chicken_thigh	33.946666666666665
plant_derive	37.051975051975056
ready_eat	262.0882352941176
red_bell	28.931818181818183
chow_mein	565.7777777777777
sunflower_seed	22.848717948717947
navy_bean	12.693732193732194
bouillon_cube	64.57246376811594
fatty_acid	114.24358974358974
kidney_bean	29.80267558528428
cola_carbonate	42.43333333333334
lowfat_cow	32.631064998474216
vitamin_mineral	79.3970893970894
flavoring_seasoning	48.96153846153847
whole_part	18.736125712388645
aspartame_sweeten	25.717171717171716
special_dietary	141.44444444444443
dietary_use	60.61904761904761
chew_gum	275.2432432432432
reduce_calorie	30.387041773231033
water_buffalo	25.545150501672243
spray_dry	10.898083978801466
cider_vinegar	15.193520886615516
olive_stuffed	83.67136150234742
press_cake	65.00990099009901
onion_plant	19.267027027027027
chocolate_cover	49.78212290502793
bourbon_whiskey	119.21070234113712
egg_yolk	56.75796178343949
red_currant	13.260416666666666
roll_bun	63.95454545454545
fish_stick	16.62057021049827
snow_crab	22.347335423197492
iron_fortify	31.432098765432098
blackeyed_pea	120.01346801346801
orange_marmalade	17.113501056270405
pie_filling	80.199
mozzarella_cheese	11.191208791208792
cold_pack	81.15664845173043
lobster_tail	42.21
red_snapper	17.35909090909091
cow_buttermilk	50.46938053097345
ready_serve	104.83529411764705
passion_fruit	11.166666666666666
cracker_sandwich	11.424358974358974
multi_component	611.5392156862746
skipjack_tuna	25.717171717171716
tuna_pack	11.38301043219076
low_calorie	83.86823529411764
maraschino_cherry	24.214673913043477
black_currant	58.81848184818482
ocean_perch	103.13657407407406
acid_ester	35.15187376725839
ester_mono	152.32478632478634
mono_diglycerides	742.5833333333333
diglycerides_fatty	208.8515625
sweet_sour	13.70571648295309
sugar_cane	31.266666666666666
fully_preserve	48.49523809523809
durum_wheat	27.846875
new_zealand	456.97435897435895
round_herring	33.00370370370371
drink_dilute	15.905399375278893
broad_bean	16.92497625830959
heat_treat	270.03030303030306
artificial_sweetener	53.51951951951952
tablet_form	178.22
cashew_nut	33.946666666666665
pot_pie	27.846875
pigeon_pea	60.00673400673401
calorie_reduce	15.193520886615516
salad_dress	41.56734693877551
uncooked_cured	97.92307692307693
nondairy_dessert	11.13875
nonfat_dry	10.42425424059271
king_crab	46.09137931034483
french_fry	48.16756756756757
wheat_soy	13.260416666666666
apple_cider	18.59686956521739
adzuki_bean	12.693732193732194
tea_steep	17.680555555555554
carbohydrate_modify	104.83529411764705
candy_bar	11.773410404624277
pine_nut	79.2088888888889
pike_conger	111.3875
glucose_syrup	21.066193853427894
cook_canned	14.189490445859873
long_life	198.02222222222224
corn_cob	19.435114503816795
partly_skim	53.12071535022355
rise_hip	254.6
citrus_peel	14.632183908045976
table_syrup	18.95957446808511
salt_free	16.973333333333333
